Type,Count,Mean,Median,Min,Max,Std Dev
Single Family,86344,503501.01917909755,451000.0,67000.0,2223000.0,246843.11826104703
Townhouse,97820,460453.04641177674,413000.0,59000.0,2061000.0,226315.12833259878
Condominium,57571,419552.22247312014,377000.0,26000.0,1744000.0,205684.5691324719
